,game_id,map,team,Round_Win_%,Rank_Diff
211,178153,Mirage,Spirit,0.4583333333333333,2
212,187180,Mirage,Spirit,0.5416666666666666,1
213,192189,Mirage,Spirit,0.4583333333333333,-3
214,196609,Mirage,Spirit,0.4347826086956521,-1
215,198810,Mirage,Spirit,0.3809523809523809,1
216,205417,Mirage,Spirit,0.5517241379310345,-1
217,212727,Mirage,Spirit,0.3157894736842105,2
218,213719,Mirage,Spirit,0.4482758620689655,5
219,215488,Mirage,Spirit,0.4722222222222222,4
220,226791,Mirage,Spirit,0.4482758620689655,8
221,164692,Mirage,Spirit,0.5652173913043479,-22
222,165284,Mirage,Spirit,0.2352941176470588,4
223,165635,Mirage,Spirit,0.6842105263157895,19
224,166146,Mirage,Spirit,0.4499999999999999,-40
225,166728,Mirage,Spirit,0.5652173913043479,-12
226,167075,Mirage,Spirit,0.65,-12
227,166230,Mirage,Spirit,0.5909090909090908,-2
228,167767,Mirage,Spirit,0.5714285714285715,-19
229,167844,Mirage,Spirit,0.3809523809523809,-18
230,167739,Mirage,Spirit,0.6190476190476191,9
231,167897,Mirage,Spirit,0.6190476190476191,9
232,167942,Mirage,Spirit,0.8125,-1
233,169122,Mirage,Spirit,0.5333333333333333,-76
234,169306,Mirage,Spirit,0.8666666666666667,10
235,169982,Mirage,Spirit,0.7647058823529412,8
236,170124,Mirage,Spirit,0.5652173913043479,9
237,170271,Mirage,Spirit,0.5416666666666667,9
238,170720,Mirage,Spirit,0.4583333333333333,6
239,171729,Mirage,Spirit,0.7647058823529412,-43
240,172330,Mirage,Spirit,0.8666666666666667,-30
241,172369,Mirage,Spirit,0.65,8
242,172573,Mirage,Spirit,0.35,9
243,175602,Mirage,Spirit,0.6190476190476191,-6
244,175885,Mirage,Spirit,0.2352941176470588,1
245,178250,Mirage,Spirit,0.2352941176470588,-1
246,179190,Mirage,Spirit,0.3809523809523809,-5
247,179996,Mirage,Spirit,0.5909090909090908,-48
248,181193,Mirage,Spirit,0.0714285714285714,-3
249,182788,Mirage,Spirit,0.7647058823529412,-13
250,182903,Mirage,Spirit,0.4666666666666667,-1
251,182969,Mirage,Spirit,0.5909090909090908,-8
252,184514,Mirage,Spirit,0.409090909090909,2
253,185005,Mirage,Spirit,0.5416666666666667,-7
254,185098,Mirage,Spirit,0.4482758620689655,-2
255,187250,Mirage,Spirit,0.4347826086956522,2
256,187281,Mirage,Spirit,0.5652173913043479,-2
257,187409,Mirage,Spirit,0.35,2
258,188525,Mirage,Spirit,0.7222222222222222,2
259,188588,Mirage,Spirit,0.6190476190476191,-41
260,188604,Mirage,Spirit,0.7222222222222222,-40
261,189174,Mirage,Spirit,0.8666666666666667,3
262,189279,Mirage,Spirit,0.4347826086956522,-3
263,189616,Mirage,Spirit,0.65,-1
264,191125,Mirage,Spirit,0.6190476190476191,-12
265,191593,Mirage,Spirit,0.3809523809523809,-2
266,192046,Mirage,Spirit,0.6190476190476191,-2
267,195260,Mirage,Spirit,0.65,-3
268,198551,Mirage,Spirit,0.8666666666666667,-24
269,198686,Mirage,Spirit,0.7647058823529412,-2
270,199359,Mirage,Spirit,0.5416666666666667,-8
271,199902,Mirage,Spirit,0.65,-18
272,199948,Mirage,Spirit,0.2777777777777778,-13
273,201844,Mirage,Spirit,0.5434782608695653,1
274,203939,Mirage,Spirit,0.4634146341463414,2
275,204147,Mirage,Spirit,0.5416666666666667,-2
276,204203,Mirage,Spirit,0.65,1
277,204329,Mirage,Spirit,0.8125,-30
278,204489,Mirage,Spirit,0.5416666666666667,-8
279,205300,Mirage,Spirit,0.7222222222222222,1
280,205659,Mirage,Spirit,0.4666666666666667,-17
281,206095,Mirage,Spirit,0.7647058823529412,-25
282,206297,Mirage,Spirit,0.409090909090909,-3
283,206371,Mirage,Spirit,0.65,-14
284,206435,Mirage,Spirit,0.5416666666666667,-8
285,209645,Mirage,Spirit,0.5416666666666667,-19
286,209947,Mirage,Spirit,0.5909090909090908,-3
287,210479,Mirage,Spirit,0.2777777777777778,-11
288,215070,Mirage,Spirit,0.7222222222222222,2
289,216599,Mirage,Spirit,0.5416666666666667,-61
290,217340,Mirage,Spirit,0.409090909090909,-12
291,218063,Mirage,Spirit,0.5333333333333333,-1
292,218494,Mirage,Spirit,0.4482758620689655,5
293,218546,Mirage,Spirit,0.8125,3
294,223200,Mirage,Spirit,0.6190476190476191,-9
295,221893,Mirage,Spirit,0.2352941176470588,-13
296,226560,Mirage,Spirit,0.2777777777777778,5
297,226596,Mirage,Spirit,0.3809523809523809,-64
298,226613,Mirage,Spirit,0.65,-3
299,226668,Mirage,Spirit,0.6190476190476191,2
300,226717,Mirage,Spirit,0.7647058823529412,5
301,228641,Mirage,Spirit,0.5416666666666667,3
302,229137,Mirage,Spirit,0.65,1
303,183172,Nuke,Spirit,0.5517241379310345,-41
304,183355,Nuke,Spirit,0.5416666666666666,-12
305,192186,Nuke,Spirit,0.2777777777777778,-3
306,194384,Nuke,Spirit,0.6842105263157895,-24
307,196605,Nuke,Spirit,0.7222222222222222,-1
308,198816,Nuke,Spirit,0.4090909090909091,1
309,205406,Nuke,Spirit,0.5416666666666666,-1
310,213714,Nuke,Spirit,0.4571428571428571,5
311,223770,Nuke,Spirit,0.4583333333333333,-1
312,226798,Nuke,Spirit,0.4347826086956521,8
313,164636,Nuke,Spirit,0.8125,-70
314,164752,Nuke,Spirit,0.5909090909090908,-19
315,165288,Nuke,Spirit,0.8125,4
316,165494,Nuke,Spirit,0.5652173913043479,8
317,165902,Nuke,Spirit,0.3809523809523809,8
318,166735,Nuke,Spirit,0.5652173913043479,-12
319,167070,Nuke,Spirit,0.4571428571428572,-12
320,167781,Nuke,Spirit,0.409090909090909,-19
321,167836,Nuke,Spirit,0.35,-18
322,167735,Nuke,Spirit,0.5909090909090908,9
323,169609,Nuke,Spirit,0.2352941176470588,11
324,169184,Nuke,Spirit,0.5333333333333333,-19
325,170129,Nuke,Spirit,0.7222222222222222,9
326,170269,Nuke,Spirit,0.5909090909090908,9
327,170776,Nuke,Spirit,0.5416666666666667,-9
328,171732,Nuke,Spirit,0.6190476190476191,-43
329,172355,Nuke,Spirit,0.4482758620689655,8
330,172577,Nuke,Spirit,0.5428571428571429,9
331,175598,Nuke,Spirit,0.5416666666666667,-6
332,176439,Nuke,Spirit,0.6190476190476191,2
333,176522,Nuke,Spirit,0.5652173913043479,3
334,178258,Nuke,Spirit,0.6842105263157895,-1
335,179044,Nuke,Spirit,0.7647058823529412,-20
336,179202,Nuke,Spirit,0.5333333333333333,-5
337,180477,Nuke,Spirit,0.5652173913043479,-10
338,181189,Nuke,Spirit,0.1875,-3
339,182582,Nuke,Spirit,0.65,-12
340,182900,Nuke,Spirit,0.5909090909090908,-1
341,182957,Nuke,Spirit,0.65,-8
342,183250,Nuke,Spirit,0.35,-20
343,183392,Nuke,Spirit,0.8666666666666667,-16
344,184259,Nuke,Spirit,0.5909090909090908,-13
345,184328,Nuke,Spirit,0.5517241379310345,-34
346,184900,Nuke,Spirit,0.4583333333333333,-5
347,188531,Nuke,Spirit,0.4666666666666667,2
348,189611,Nuke,Spirit,0.35,-1
349,189688,Nuke,Spirit,0.6190476190476191,-2
350,190288,Nuke,Spirit,0.7647058823529412,-27
351,191118,Nuke,Spirit,0.6842105263157895,-12
352,191531,Nuke,Spirit,0.7222222222222222,-12
353,191605,Nuke,Spirit,0.4666666666666667,-2
